calendar_yr	customer_cd	master_customer_nm	LTOWB	RBC	PLTS
2021	N006B3UCIM	UNIVERSITY OF CALIFORNIA, IRVINE MEDICAL CENTER	23	9440	4444
2023	N001001140	URMC-STRONG MEMORIAL HOSPITAL	12	22080	6842
2025	N0122305	HIGH POINT REGIONAL MEDICAL CENTER	150	3385	847
2024	N020B3SLMV	ST LUKES MAGIC VALLEY MEDICAL CENTER	53	1600	454
2024	N007ME3757	PHI MESA AZ	5	5	
2024	N038B7RILE	METHODIST HOSPITAL	681	11932	3995
2024	N006E63MER	SCRIPPS MERCY HOSPITAL	61	5217	1369
2020	N016COL013	RIVERSIDE METHODIST HOSPITAL	6	10364	1215
2021	N0337018	SAINT FRANCIS HOSPITAL AND MEDICAL CENTER	1	9781	2120
2025	N006BZRIVE	RIVERSIDE COMMUNITY HOSPITAL	61	8948	1394
2024	N0075214	AIR METHODS LAKE HAVASU CITY	14	33	
2022	N032B0MASO	ADVOCATE ILLINOIS MASONIC MEDICAL CENTER	56	3404	1493
2021	N036B1RICH	PRISMA HEALTH RICHLAND HOSPITAL	35	15342	2663
2023	N027B7WVUH	J.W. RUBY MEMORIAL HOSPITAL	50	11896	3525
2024	N0217520	AIR METHODS TAOS	16	33	
2019	N006E63SCE	SCRIPPS MEMORIAL HOSPITAL ENCINITAS	1	3406	1002
2024	N0207506	AIR METHODS LAS CRUCES	12	42	
2023	N01812SPAR	UNIVERSITY OF MICHIGAN HEALTH - SPARROW LANSING	9	5503	1687
2025	N053B1WAHC	WASHINGTON HOSPITAL CENTER	193	16882	2440
2025	N020S98IMC	INTERMOUNTAIN MEDICAL CENTER	851	8817	2513
2025	N020S98DRM	ST GEORGE REGIONAL MEDICAL CENTER	323	4542	1411
2025	N022XHF	CAPITAL HEALTH SYSTEM-FULD CAMPUS	88	3543	831
2025	N0025434	AIR METHODS - LIBERAL	20	30	
2021	N009N8DHMC	DENVER HEALTH MEDICAL CENTER	3	7062	743
2025	N035N1UNVA	UNIVERSITY OF VIRGINIA MEDICAL CENTER	329	17100	7486
2022	N0041039	MASSACHUSETTS GENERAL HOSPITAL	30	18814	4967
2024	N0207503	AIR METHODS ALAMOGORDO	12	33	
2025	N0075230	AIR METHODS PARKER	22	32	
2024	N0535616	AIR METHODS GETTYSBURG	39	70	
2025	N0207902	AIR METHODS - YELLOWSTONE	13	20	
2024	N006B4HUNT	HUNTINGTON MEMORIAL HOSPITAL	95	4262	1488
2025	N029CHIPEN	HCA-CHIPPENHAM HOSPITAL	284	5340	863
2025	N006E63UCS	UC SAN DIEGO HEALTH - HILLCREST	235	6980	2742
2025	N007DV3789	PHI DEER VALLEY AZ	3	16	
2023	N020S98LRH	LOGAN REGIONAL HOSPITAL	56	1414	323
2023	N027B8TMCB	HERITAGE VALLEY BEAVER	38	2904	342
2019	N02911027	RIVERSIDE REGIONAL MEDICAL CENTER	5	5516	656
2024	N022WTD	JEFFERSON WASHINGTON TOWNSHIP HOSPITAL	22	3040	343
2024	N0305617	AIR METHODS - LANCASTER	32	59	
2025	N030B48001	GEISINGER WYOMING VALLEY MEDICAL CENTER	268	2747	288
2023	N049T3901T	MEDICAL CITY PLANO	231	9333	1099
2019	N006B9CELB	CEDARS-SINAI MEDICAL CENTER	151	10780	4254
2025	N0065020	AIR METHODS FORT HUNTER LIGGETT	1	5	
2025	N0122420	WAKE FOREST BAPTIST MEDICAL CENTER	2041	19100	8661
2022	N030B7004H	PENN STATE HEALTH MILTON S HERSHEY MEDICAL CENTER	4	15943	7693
2024	N0217508	AIR METHODS ROSWELL	15	32	
2019	N009N8UCMC	UCHEALTH UNIVERSITY OF COLORADO HOSPITAL	23	3048	1125
2024	N027B9CAMC	CHARLESTON AREA MEDICAL CENTER	93	13027	3068
2024	N001AM005	AIR METHODS HARRIS	12	54	
2024	N042C00019	METRO HEALTH MEDICAL CENTER-CLEVELAND	157	9368	1064
2020	N040B0UCHI	THE UNIVERSITY OF CHICAGO MEDICAL CENTER	50	25806	6010
2025	N0095314	AIR METHODS - NORTH PLATTE (FW)	15	31	
2023	N088USNHGB	US NAVAL HOSPITAL GUANTANAMO BAY CUBA	2	10	
2022	N003B4MCMA	ATRIUM HEALTH NAVICENT	20	11084	1768
2025	N002B19398	WESLEY MEDICAL CENTER	249	6434	1189
2020	N027B1CVMH	CONEMAUGH MEMORIAL MEDICAL CENTER	2	5423	1185
2020	N035N1VCU	VCU MEDICAL CENTER	0	21874	7843
2024	N02911009	SENTARA VIRGINIA BEACH GENERAL HOSPITAL	75	3741	916
2024	N022PSB	PENN-PRESBYTERIAN MEDICAL CENTER	362	11676	2627
