calendar_yr	customer_cd	master_customer_nm	LTOWB	RBC	PLTS
2024	N006B8HGEN	HARBOR UCLA MEDICAL CENTER	10	190	50
2025	N0025429	AIR METHODS - PARSONS	22	40	
2024	N022SCHB	ST CHRISTOPHER'S HOSP FOR CHILDREN/ TOWER HEALTH SYSTEM	19	1367	560
2023	N0065002	AIR METHODS VICTORVILLE	5	83	
2020	N022NJSTJH	ST. JOSEPH'S UNIVERSITY MEDICAL CENTER	4	8660	1511
2025	N001AM007	AIR METHODS POTSDAM	22	37	
2025	N022CHL	CHILDREN'S HOSPITAL OF PHILADELPHIA	2	13764	6670
2025	N011B1BARN	BARNES-JEWISH HOSPITAL	659	44117	14718
2023	N003B2GWMD	NORTHSIDE HOSPITAL - GWINNETT	2	10683	1999
2023	N020B5STAH	SAINT ALPHONSUS MEDICAL GROUP NAMPA	4	1057	251
2025	N0207805	AIR METHODS - SALMON	14	33	
2024	N012AM001	AIR METHODS LUMBERTON	30	72	
2024	N001B1AMCH	ALBANY MEDICAL CENTER HOSPITAL	77	16329	4151
2025	N038B7VERN	VERNON TOWNSHIP FIRE DEPARTMENT	5	6	
2024	N007OR3781	PHI ORACLE AZ	4	6	
2024	N022ATL	ATLANTICARE REG MED CTR-CITY CAMPUS	28	2787	446
2025	N040B0ADVC	ADVOCATE CHRIST MEDICAL CENTER	153	19593	3251
2024	N0075241	AIR METHODS-WESTFIELD	16	31	
2023	N020LVMCFH	MIKE OCALLAGHAN FEDERAL HOSPITAL	1	76	7
2025	N001AM012	AIR METHODS WALLKILL	28	66	
2025	N011B9OVER	OVERLAND PARK REGIONAL MEDICAL CENTER	32	2556	562
2023	N022XAD	NEMOURS CHILDREN'S HOSPITAL	2	16	351
2023	N003B1KENN	WELLSTAR KENNESTONE HOSPITAL	2	15907	2239
2025	N0025430	AIR METHODS EMPORIA	18	35	
2024	N024000425	UNIVERSITY OF LOUISVILLE HOSPITAL ULH	940	10193	3094
2024	N0065005	AIR METHODS OCEANSIDE	34	54	
2025	N600CRTC	COMPONENT RECONCILIATION CUSTOMER	1	133	13
2025	N0122540	MUSC HEALTH LANCASTER MEDICAL CENTER	44	2190	161
2025	N0115401	AIR METHODS GRANITE CITY	47	92	
2025	N049T0062C	BAYLOR UNIVERSITY MEDICAL CTR AT DALLAS	343	17677	6998
2024	N030B31001	GUTHRIE ROBERT PACKER HOSPITAL	33	4615	1270
2024	N024AIRMET	AIR METHODS GLASGOW	24	53	
2025	N022LOL	VIRTUA HEALTH CAMDEN	44	5328	1159
2024	N0217501	AIR METHODS SILVER CITY	15	40	
2025	N0205178	AIR METHODS- OGDEN	22	29	
2024	N0217510	AIR METHODS CARLSBAD RW	16	32	
2022	N035CCLB	CARILION CONSOLIDATED LABS	11	11751	2668
2025	N022NJCITY	JERSEY CITY MEDICAL CENTER	58	5810	603
2024	N006BNCEVC	CENTINELA HOSPITAL MEDICAL CENTER	1	3199	406
2024	N006BZPKVW	DOCTORS HOSPITAL OF RIVERSIDE	1	1338	115
2025	N007SV3769	PHI SIERRA VISTA HOSPITAL AZ	7	21	
2025	N038B6LUTH	LUTHERAN HOSPITAL OF INDIANA	381	6683	1413
2025	N041ATUSFR	TUSCALOOSA FIRE RESCUE	334	406	
2024	N049T3560T	THE CITY OF STEPHENVILLE FIRE DEPARTMENT	12	15	
2024	N030B15001	LEHIGH VALLEY HOSPITAL - HAZLETON	22	524	135
2025	N001003102	GUTHRIE LOURDES HOSPITAL	2	2361	221
2025	N002B1GMRH	GLOBAL MEDICAL RESPONSE HAYS	3	8	
2025	N0075242	AIR METHODS GOODYEAR	16	26	
2024	N007SA3766	PHI SAFFORD AIRPORT AZ	2	4	
2025	N022ABN	ABINGTON HOSPITAL - JEFFERSON HEALTH	75	9308	1590
2024	N001AM008	AIR METHODS SELKIRK	18	59	
2025	N040STFREV	ST FRANCIS HOSPITAL OF EVANSTON	63	1786	328
2025	N0075238	AIR METHODS - COTTONWOOD	24	43	
2025	N006BCLAGO	LOS ANGELES GENERAL MEDICAL CENTER	245	12131	2461
2025	N02911021	SENTARA NORFOLK GENERAL HOSPITAL	232	17054	3525
2024	N0205177	AIR METHODS- HENDERSON	14	38	
2025	N020B9PETE	ST PETER'S HEALTH REGIONAL MEDICAL CENTER-HELENA	46	936	283
2021	N041A10206	UNIVERSITY HOSPITAL-BIRMINGHAM	685	35949	8682
2025	N0065030	AIR METHODS BIG BEAR	17	36	
2023	N053DOSAC	SAC MEDICAL	2	148	
2024	N049T0725T	PARKER COUNTY HOSPITAL DISTRICT EMS	25	50	
2024	N020LVSHMC	SUNRISE HOSPITAL & MED CTR	271	14819	4054
2021	N030B12001	GEISINGER MEDICAL CENTER - DANVILLE	7	244	69
2025	N0075221	AIR METHODS PRESCOTT	21	43	
2024	N0075239	AIR METHODS - FLAGSTAFF	19	35	
2024	N020B5VALY	CASCADE MEDICAL CENTER	0	51	
2024	N007TU3191	PHI TUCUMCARI, NM	5	5	
2025	N084B5DMO	DOCTORS MEDICAL CENTER OF MODESTO	0	6137	1823
2025	N084B1SMSA	SIERRA MEDICAL SERVICES ALLIANCE	4	12	
2024	N006B9RRMC	RONALD REAGAN UCLA MEDICAL CENTER	5	11802	7603
2025	N0042003	VA MEDICAL CENTER WEST ROXBURY	4	1454	335
2025	N041BMCMAT	UMMC MATIC 2 TRIAL	73	157	
2025	N020B5STLK	ST LUKES WOOD RIVER MEDICAL CENTER	4	463	
2024	N053B1BNMC	WALTER REED NATIONAL MILITARY MED CTR	30	2389	290
2025	N024AMBDKY	AIR METHODS BEDFORD	3	36	
2022	N02933025	NAVAL MEDICAL CENTER PORTSMOUTH	2	437	72
2025	N0041805	LAWRENCE GENERAL HOSPITAL	63	1924	69
2025	N02913063	RIVERSIDE SMITHFIELD HOSPITAL	1	17	
2025	N002B62893	DFAS: ARMED SERVICES WHOLE BLOOD	294	3180	1
2025	N0406501	AIR METHODS JOLIET	25	52	
2025	N049T3301T	MEDICAL CITY ARLINGTON	74	4712	592
2025	N0217522	AIR METHODS NM - ARTESIA FW	10	15	
2025	N016COL008	GRANT MEDICAL CENTER	270	7237	825
2023	N084B4MUIR	JOHN MUIR MED CTR-WALNUT CREEK CAMPUS	92	5614	1393
2024	N009N8LL04	UC HEALTH LIFELINE 4	8	38	
2024	N003B1SCOT	CHILDREN'S HEALTHCARE OF ATLANTA-SCOTTISH RITE	8	658	435
2025	N0115406	AIR METHODS - SULLIVAN	22	46	
2025	N0075229	AIR METHODS - KINGMAN	18	29	
2020	N036B1MUSC	MEDICAL UNIVERSITY OF SC	97	19600	6500
2025	N022TEM	TEMPLE UNIVERSITY HOSPITAL	128	10845	1263
2025	N0122120	CAPE FEAR VALLEY MEDICAL CENTER	118	7952	377
2025	N007SH3293	PHI SAFFORD HOSPITAL AZ	4	14	
2021	N020S98MDH	MCKAY-DEE HOSPITAL CENTER	35	2973	661
2025	N02913003	CHESAPEAKE REGIONAL MEDICAL CENTER	18	4357	646
2025	N027CAML	CAMDEN CLARK HOSPITAL	1	3900	972
2025	N032B1MARN	BAY AREA MEDICAL CENTER	17	30	
2023	N017EUCL	MAYO CLINIC HEALTH SYSTEM EAU CLAIRE	4	3344	1094
2025	N004210	RHODE ISLAND BLOOD CENTER	28	51	45
2023	N020B5STLM	ST LUKES MERIDIAN MEDICAL CTR	24	1747	538
2024	N013B5UMMC	UNIVERSITY OF MICHIGAN HOSPITALS	147	29899	16348
2025	N017REGN	REGIONS HOSPITAL	311	8280	1952
2025	N003B3ATHN	PIEDMONT ATHENS REGIONAL HOSPITAL	171	4042	592
2024	N001AM013	AIR METHODS ROME	17	38	
2019	N021P00001	OHSU HOSPITAL	8	15169	8546
2023	N0176606	AIR METHODS - BLACK HILLS LIFE FLIGHT 3	11	36	
2025	N0065027	AIR METHODS EL CENTRO	17	34	
2025	N050B1MCOH	UNIVERSITY OF TOLEDO	30	4470	488
2025	N002B1GMRW	GLOBAL MEDICAL RESPONSE WICHITA	101	119	
2023	N006B3UCIM	UNIVERSITY OF CALIFORNIA, IRVINE MEDICAL CENTER	156	8959	5584
2021	N001001140	URMC-STRONG MEMORIAL HOSPITAL	5	22427	6611
2025	N024001040	BLOOMINGTON HOSPITAL	29	3270	712
2023	N020B3SLMV	ST LUKES MAGIC VALLEY MEDICAL CENTER	50	1503	441
2019	N016COL012	OHIO STATE UNIVERSITY WEXNER MEDICAL CENTER	2	18478	4852
2024	N0075226	AIR METHODS SUN CITY	19	37	
2025	N021P00503	GOOD SAMARITAN HOSPITAL-CORVALLIS	0	4912	1189
2025	N021GENEVA	THE GENEVA FOUNDATION	1	8	
2025	N0095305	AIR METHODS - OMAHA	18	34	
2023	N038B7RILE	METHODIST HOSPITAL	79	7113	2116
2024	N016COL010	MT CARMEL EAST HOSPITAL	61	5993	815
2024	N0095316	AIR METHODS KEARNEY NE	22	37	
2024	N020B5STAL	SAINT ALPHONSUS REG MEDICAL CTR	517	4892	1017
2022	N0337018	SAINT FRANCIS HOSPITAL AND MEDICAL CENTER	19	8241	1891
2025	N0217504	AIR METHODS CARLSBAD FW	22	29	
2024	N0217509	AIR METHODS DEMING	14	38	
2024	N0205121	AIR METHODS PAHRUMP-MERCY AIR 21	16	44	
2024	N0176603	AIR METHODS BLACK HILLS LIFE FLIGHT - ROTARY WING	25	41	
2025	N007EL3785	PHI ELOY AZ	5	22	
2023	N006BZKONT	KAISER PERMANENTE ONTARIO MED CTR	3	4245	1062
2023	N032B0MASO	ADVOCATE ILLINOIS MASONIC MEDICAL CENTER	8	3722	1559
2025	N0207801	AIR METHODS - DRIGGS	20	33	
2023	N036B1RICH	PRISMA HEALTH RICHLAND HOSPITAL	27	12203	2395
2024	N0419002	AIR METHODS SYLACAUGA	10	31	
2022	N027B7WVUH	J.W. RUBY MEMORIAL HOSPITAL	63	12209	2846
2025	N0115421	AIR METHODS LITCHFIELD	19	34	
2025	N022NNJUMD	UNIVERSITY HOSPITAL-UMDNJ	151	3605	217
2025	N041BMCERS	UNIV OF MISS MED CNTR ER SERVICES	56	75	
2024	N011B5CARB	MEMORIAL HOSPITAL-CARBONDALE	50	2772	1013
2025	N01812SPAR	UNIVERSITY OF MICHIGAN HEALTH - SPARROW LANSING	180	5462	2024
2025	N0095310	AIR METHODS - COLUMBUS	12	39	
2022	N053B1WAHC	WASHINGTON HOSPITAL CENTER	87	18535	3002
2025	N038B6TRAA	THREE RIVERS AMBULANCE AUTHORITY	104	138	
2024	N0122490	NOVANT HEALTH PRESBYTERIAN MEDICAL CENTER	134	17625	3998
2025	N009124	NEBRASKA COMMUNITY BLOOD BANK	9	664	
2024	N019058000	VANDERBILT UNIVERSITY MEDICAL CENTER	218	13181	4641
2023	N022XHF	CAPITAL HEALTH SYSTEM-FULD CAMPUS	19	2550	693
2025	N0075232	AIR METHODS	22	32	
2025	N009N8LL19	UCHEALTH LIFELINE 19	40	52	
2024	N053B1CHIL	CHILDREN'S HOSPITAL NATIONAL MEDICAL CTR	72	5334	1415
2024	N0075222	AIR METHODS - PRESCOTT VALLEY	19	55	
2024	N035AM002	AIR METHODS MARTINSVILLE	26	48	
2024	N038B6PARK	PARKVIEW REGIONAL MEDICAL CENTER	212	7028	1960
2024	N0207804	AIR METHODS - IDAHO FALLS - ROTOR WING	20	43	
2025	N001AM003	AIR METHODS - DEXTER WATERTOWN	21	51	
2025	N0075215	AIR METHODS - MESA	19	33	
2024	N0205111	AIR METHODS MESQUITE	23	34	
2025	N022105	BLOOD BANK OF DELMARVA	10	375	184
2025	N013B5CMHC	TRINITY HEALTH ANN ARBOR HOSPITAL	79	7910	1586
2025	N038SCIEMS	SCOTT COUNTY INDIANA EMS	1	23	
2025	N017177	MEMORIAL BLOOD CENTERS OF MINNEAPOLIS	20	822	2
2024	N054P8GASM	ADM SERVICIOS MEDICOS	12	210	456
2025	N0205101	AIR METHODS PAHRUMP II-MERCY AIR 24	14	34	
2024	N009N8LL01	UCHEALTH LIFELINE 1	19	52	
2025	N0116505	AIR METHODS - MURPHYSBORO	24	34	
2020	N0122520	RUTHERFORD HOSPITAL INC	0	789	152
2024	N0065022	AIR METHODS HESPERIA	33	52	
2023	N0065064	AIR METHODS BAKERSFIELD	6	33	
2025	N0075202	AIR METHODS - FLORENCE	15	33	
2024	N032B7UWIS	UNIVERSITY OF WISCONSIN HOSPITAL & CLINICS	361	16802	7923
2025	N0075240	AIR METHODS - SHOW LOW 2	21	30	
2024	N0095303	AIR METHODS - NORFOLK	16	37	
2025	N040B0NWDH	NORTHWESTERN MEDICINE DELNOR HOSPITAL	83	108	
2024	N029CHIPEN	HCA-CHIPPENHAM HOSPITAL	160	5305	814
2022	N049T1650T	BAYLOR SCOTT AND WHITE MED CTR-GRAPEVINE	2	516	277
2024	N006B3HUWA	WEST ANAHEIM MEDICAL CENTER	2	1994	282
2022	N006E63UCS	UC SAN DIEGO HEALTH - HILLCREST	66	6137	2559
2023	N021P00211	KADLEC REGIONAL MEDICAL CENTER	56	6189	1623
2025	N0075206	AIR METHODS RIO RICO	26	39	
2025	N011B1CHNE	CHRISTIAN HOSPITAL	22	5017	836
2025	N001AM006	AIR METHODS HORNELL	19	44	
2025	N0075218	AIR METHODS PAYSON	22	38	
2024	N038B7BALL	BALL MEMORIAL HOSPITAL	42	3883	807
2025	N0115420	AIR METHODS SPARTA	23	36	
2025	N001AM009	AIR METHODS SENECA FALLS	23	50	
2024	N0025436	AIR METHODS WICHITA	17	30	
2024	N0075203	AIR METHODS - TUCSON	21	37	
2025	N0075235	AIR METHODS - YUMA	18	33	
2024	N0277101	AIR METHODS HAGERSTOWN	16	37	
2023	N027STMA	ST MARY'S MEDICAL CENTER	11	5451	836
2021	N053B1GTWN	GEORGETOWN UNIV HOSPITAL	2	10993	2882
2025	N001AM010	AIR METHODS SIDNEY	24	47	
2025	N024LMTEMS	LOUISVILLE METRO EMS	36	73	
2025	N007000125	TUCSON MEDICAL CENTER	1	6478	1595
2022	N022183	MILLER MEMORIAL BLOOD CENTER	6	467	3
2024	N049T3901T	MEDICAL CITY PLANO	354	9474	1096
2021	N006B9CELB	CEDARS-SINAI MEDICAL CENTER	61	16786	3975
2025	N032H0ABGB	AURORA BAYCARE MEDICAL CENTER	83	121	
2025	N036B1WACC	TIDELANDS WACCAMAW COMMUNITY HOSPITAL	9	1711	373
2024	N017MANS	MAYO CLINIC HEALTH SYSTEM MANKATO	46	2243	713
2025	N007SV3764	PHI SIERRA VISTA AIRPORT AZ	3	14	
2025	N024AMCORY	AIR METHODS CORYDON	1	34	
2021	N0122420	WAKE FOREST BAPTIST MEDICAL CENTER	152	21281	7332
2023	N0176608	AIR METHODS HOT SPRINGS	10	12	
2025	N030B7004H	PENN STATE HEALTH MILTON S HERSHEY MEDICAL CENTER	345	18875	6731
2025	N055B3BERN	ST BERNARDS MEDICAL CENTER	28	5210	1355
2025	N027CABH	CABELL HUNTINGTON HOSPITAL	62	5096	1341
2022	N040B0LOYO	LOYOLA UNIVERSITY MEDICAL CENTER	14	15651	2785
2025	N030B08001	GEISINGER COMMUNITY MEDICAL CENTER	158	1991	270
2025	N0208002	AIR METHODS - CASPER FW	19	27	
2024	N011B9CMEC	CENTERPOINT MEDICAL CENTER	38	3370	505
2022	N009N8UCMC	UCHEALTH UNIVERSITY OF COLORADO HOSPITAL	25	5413	1742
2019	N020S98DRK	DR KELLEY-RESEARCH	1	22	3
2023	N027B9CAMC	CHARLESTON AREA MEDICAL CENTER	55	12648	3196
2024	N020S98VVM	VALLEY VIEW MEDICAL CENTER	102	930	22
2025	N049T5252T	BAYLOR SCOTT AND WHITE MED CTR-MCKINNEY	39	2732	1233
2025	N006B0COLA	LOS ANGELES COMMUNITY HOSPITAL	6	897	115
2025	N006BJANVD	ANTELOPE VALLEY MEDICAL CENTER	57	6869	960
2025	N041BRFIRE	BIRMINGHAM FIRE AND RESCUE	77	162	
2024	N009N8LL05	UCHEATH LIFE LINE 5	15	41	
2024	N007WI3756	PHI WICKENBURG AZ	4	4	
2025	N0078004	AIR METHODS EVANSTON	4	10	
2024	N0065018	AIR METHODS THERMAL	20	41	
2025	N0075227	AIR METHODS BULLHEAD CITY	16	35	
2024	N0122415	NEW HANOVER REGIONAL MED CTR	41	13214	3168
2025	N007RB3294	PHI AIR MEDICAL RED BLUFF BASE	6	18	
2025	N009N8LL03	UCHEALTH LIFELINE 3	50	60	
2025	N0095311	AIR METHODS - CRETE	13	40	
2024	N003B4MCMA	ATRIUM HEALTH NAVICENT	172	10169	1958
2025	N0047128	UNIVERSITY OF VERMONT MEDICAL CENTER	69	7873	3040
2025	N007N8ECPC	EAGLE COUNTY PARAMEDIC SERVICES	9	28	
2024	N007MI3758	PHI MIAMI AZ	4	5	
2024	N012ECUBSM	EAST CAROLINA UNIV - BRODY SCHOOL OF MED	3	70	
2025	N041A45037	UNIVERSITY OF MISSISSIPPI MEDICAL CTR	101	20831	4060
2024	N02912034	SENTARA WILLIAMSBURG REGIONAL MED CENTER	8	1382	268
2022	N027B1CVMH	CONEMAUGH MEMORIAL MEDICAL CENTER	4	4202	732
2025	N009B6NPLT	GREAT PLAINS HEALTH	2	1086	189
2025	N0122225	DUMC DUKE UNIVERSITY MEDICAL CENTER	299	31526	14086
2023	N021P00010	PORTLAND ADVENTIST MEDICAL CENTER	2	2199	603
2025	N049T4500T	MEDICAL CITY OF MCKINNEY	7	2336	359
2025	N007000115	CANYON VISTA MEDICAL CENTER	1	1081	563
2020	N02911009	SENTARA VIRGINIA BEACH GENERAL HOSPITAL	1	3967	902
2025	N053B1CAPR	UM CAPITAL REGION MEDICAL CENTER	8	513	59
2025	N053B0SNAI	SINAI HOSPITAL-BALTIMORE	49	6652	679
2024	N0207802	AIR METHODS - IDAHO FALLS	18	39	
2022			2		
2024	N0025429	AIR METHODS - PARSONS	16	35	
2021	N022SCHB	ST CHRISTOPHER'S HOSP FOR CHILDREN/ TOWER HEALTH SYSTEM	17	1546	495
2024	N0065002	AIR METHODS VICTORVILLE	25	50	
2023	N022NJSTJH	ST. JOSEPH'S UNIVERSITY MEDICAL CENTER	44	6270	877
2024	N001AM007	AIR METHODS POTSDAM	19	36	
2021	N022CHL	CHILDREN'S HOSPITAL OF PHILADELPHIA	1	12185	5609
2024	N011B1BARN	BARNES-JEWISH HOSPITAL	663	38982	13652
2024	N003B2GWMD	NORTHSIDE HOSPITAL - GWINNETT	241	10982	2335
2025	N020B5STAH	SAINT ALPHONSUS MEDICAL GROUP NAMPA	142	1114	308
2024	N0207805	AIR METHODS - SALMON	16	32	
2025	N012AM001	AIR METHODS LUMBERTON	32	60	
2022	N001B1AMCH	ALBANY MEDICAL CENTER HOSPITAL	11	15082	4079
2025	N007OR3781	PHI ORACLE AZ	4	20	
2025	N022ATL	ATLANTICARE REG MED CTR-CITY CAMPUS	81	3388	448
2020	N040B0ADVC	ADVOCATE CHRIST MEDICAL CENTER	1	21848	4416
2025	N0075241	AIR METHODS-WESTFIELD	26	35	
2024	N001AM012	AIR METHODS WALLKILL	17	73	
2024	N011B9OVER	OVERLAND PARK REGIONAL MEDICAL CENTER	12	2763	608
2025	N050B1STVS	MERCY ST VINCENT MEDICAL CENTER	47	6014	1014
2025	N003B1KENN	WELLSTAR KENNESTONE HOSPITAL	78	4061	659
2024	N0025430	AIR METHODS EMPORIA	9	33	
2022	N024000425	UNIVERSITY OF LOUISVILLE HOSPITAL ULH	47	8307	2728
2023	N0065005	AIR METHODS OCEANSIDE	3	46	
2024	N600CRTC	COMPONENT RECONCILIATION CUSTOMER	1	114	23
2024	N0122540	MUSC HEALTH LANCASTER MEDICAL CENTER	20	2159	100
2023	N0115401	AIR METHODS GRANITE CITY	30	167	
2024	N049T0062C	BAYLOR UNIVERSITY MEDICAL CTR AT DALLAS	332	17709	5318
2025	N030B31001	GUTHRIE ROBERT PACKER HOSPITAL	37	4508	1248
2025	N024AIRMET	AIR METHODS GLASGOW	23	45	
2025	N0217501	AIR METHODS SILVER CITY	28	48	
2024	N0205178	AIR METHODS- OGDEN	20	36	
2025	N0217510	AIR METHODS CARLSBAD RW	19	28	
2023	N035CCLB	CARILION CONSOLIDATED LABS	15	11667	2701
2024	N02920010	ECU HEALTH	228	1387	595
2024	N007SV3769	PHI SIERRA VISTA HOSPITAL AZ	4	4	
2024	N038B6LUTH	LUTHERAN HOSPITAL OF INDIANA	138	6642	1436
2025	N049T3560T	THE CITY OF STEPHENVILLE FIRE DEPARTMENT	19	31	
2025	N030B15001	LEHIGH VALLEY HOSPITAL - HAZLETON	36	1202	336
2025	N022XWC	CHRISTIANA CARE HEALTH SERVICES, INC	12	1814	628
2025	N007SA3766	PHI SAFFORD AIRPORT AZ	6	19	
2025	N001AM008	AIR METHODS SELKIRK	16	54	
2025	N021104	BLOOD BANK OF ALASKA	4	1120	
2024	N0075238	AIR METHODS - COTTONWOOD	22	35	
2024	N006BCLAGO	LOS ANGELES GENERAL MEDICAL CENTER	34	3128	684
2019	N02911021	SENTARA NORFOLK GENERAL HOSPITAL	4	13689	2081
2025	N0205177	AIR METHODS- HENDERSON	16	40	
2024	N020B9PETE	ST PETER'S HEALTH REGIONAL MEDICAL CENTER-HELENA	48	864	416
2025	N041A10206	UNIVERSITY HOSPITAL-BIRMINGHAM	1216	44690	11867
2024	N0065030	AIR METHODS BIG BEAR	17	34	
2024	N053DOSAC	SAC MEDICAL	57	271	
2025	N020LVSHMC	SUNRISE HOSPITAL & MED CTR	158	13689	4336
2025	N030B12001	GEISINGER MEDICAL CENTER - DANVILLE	729	3513	776
2024	N0075221	AIR METHODS PRESCOTT	17	44	
2025	N0075239	AIR METHODS - FLAGSTAFF	18	32	
2025	N007TU3191	PHI TUCUMCARI, NM	6	19	
2023	N0041074	BOSTON MEDICAL CENTER	8	485	44
2025	N053B1BNMC	WALTER REED NATIONAL MILITARY MED CTR	2	2630	417
2025	N02933025	NAVAL MEDICAL CENTER PORTSMOUTH	123	950	200
2024	N0041805	LAWRENCE GENERAL HOSPITAL	13	1812	95
2025	N053B0UMHC	UNIV OF MARYLAND HOSPITAL	1090	29535	9313
2024	N0406501	AIR METHODS JOLIET	25	57	
2024	N049T3301T	MEDICAL CITY ARLINGTON	14	4747	645
2021	N016COL008	GRANT MEDICAL CENTER	16	7350	972
2020	N084B4MUIR	JOHN MUIR MED CTR-WALNUT CREEK CAMPUS	81	5937	1334
2025	N009N8LL04	UC HEALTH LIFELINE 4	41	58	
2025	N003B1SCOT	CHILDREN'S HEALTHCARE OF ATLANTA-SCOTTISH RITE	115	837	130
2024	N0115406	AIR METHODS - SULLIVAN	19	38	
2024	N0075229	AIR METHODS - KINGMAN	19	38	
2025	N036B1MUSC	MEDICAL UNIVERSITY OF SC	108	29681	12337
2023	N022TEM	TEMPLE UNIVERSITY HOSPITAL	44	12766	1370
2024	N0122120	CAPE FEAR VALLEY MEDICAL CENTER	24	2837	143
2024	N007SH3293	PHI SAFFORD HOSPITAL AZ	3	3	
2025	N020S98MDH	MCKAY-DEE HOSPITAL CENTER	218	3479	860
2025	N017EUCL	MAYO CLINIC HEALTH SYSTEM EAU CLAIRE	220	3928	1427
2025	N020B5STLM	ST LUKES MERIDIAN MEDICAL CTR	41	1949	513
2025	N013B5UMMC	UNIVERSITY OF MICHIGAN HOSPITALS	123	31475	17157
2024	N017REGN	REGIONS HOSPITAL	302	7468	1620
2024	N003B3ATHN	PIEDMONT ATHENS REGIONAL HOSPITAL	97	5994	1129
2025	N001AM013	AIR METHODS ROME	20	36	
2025	N021P00001	OHSU HOSPITAL	1151	16568	10570
2024	N0176606	AIR METHODS - BLACK HILLS LIFE FLIGHT 3	13	17	
2024	N0065027	AIR METHODS EL CENTRO	25	40	
2024	N002B1GMRW	GLOBAL MEDICAL RESPONSE WICHITA	22	23	
2025	N006B3UCIM	UNIVERSITY OF CALIFORNIA, IRVINE MEDICAL CENTER	166	13232	5964
