Master Customer Cd	hospital	Customer Class Dsc	Competitor Txt	Bed Cnt	Surgeries Cnt	Territory Dsc	Physical City name	Physical state code	Physical ZIP code	FIPS	latitude	longitude	HS Region	HS division	cancer_ctr_flg	trauma_ctr_flg	Percent ARC	Customer Integration Customer Class Dsc
N022CHL	CHILDREN'S HOSPITAL OF PHILADELPHIA		Medium	564	21019	Urban	Philadelphia	PA	19104	42101	   39.948522	  -75.19331	Southeastern Pennsylvania Region	Northeast Division	N	N	Neither	Hospital                                
N011B1BARN	BARNES-JEWISH HOSPITAL	Hospital Customer	High	1431	38697	Urban	Saint Louis	MO	63110	29510	   38.634772	  -90.26323	Missouri Arkansas Region	Southwest and Rocky Mountain Division	Y	Y	Both	Hospital                                
N001B1AMCH	ALBANY MEDICAL CENTER HOSPITAL	Others	Medium	748	27589	Urban	Albany	NY	12208	36001	   42.653215	  -73.77388	Eastern New York Region	Northeast Division	Y	Y	Neither	Hospital                                
N050B1STVS	MERCY ST VINCENT MEDICAL CENTER	Research Lab Customers	Low	568	10387	Urban	Toledo	OH	43608	39095	   41.668766	  -83.54193	Northern Ohio Region	Central Atlantic Division	Y	Y	Both	Hospital                                
N024000425	UNIVERSITY OF LOUISVILLE HOSPITAL ULH	Hospital in Region	High	404	12438	Urban	Louisville	KY	40202	21111	   38.248719	  -85.745	Kentucky Region	Central Atlantic Division	Y	Y	Both	Hospital                                
N016CTY017	MANSFIELD HOSPITAL	Hospital in Region	Low	368	5103	Urban	Mansfield	OH	44903	39139	   40.753359	  -82.52992	Central and Southern Ohio Region	Central Atlantic Division	Y	Y	Both	Hospital                                
N027B2LTUN	UPMC ALTOONA	Hospital in Region	Medium	368	26076	Urban	Altoona	PA	16601	42013	   40.521161	  -78.39814	Greater Pennsylvania Region	Northeast Division	Y	Y	Neither	Hospital                                
N041A10206	UNIVERSITY HOSPITAL-BIRMINGHAM	Hospital Customer	High	1157	32909	Urban	Birmingham	AL	35294	01073	   33.506308	  -86.80294	Alabama Mississippi Region	Southeast and Caribbean Division	Y	Y	Both	Hospital                                
N053B0UMHC	UNIV OF MARYLAND HOSPITAL	Others	Medium	806	19634	Urban	Baltimore	MD	21201	24510	   39.288571	  -76.62364	National Capital and Greater Chesapeake Region	Central Atlantic Division	Y	Y	Both	Hospital                                
N602181	METROPOLITAN BLOOD SERVICES	Community Blood Bank	Low			Urban	Yonkers	NY	10704	36119			Greater New York Region	Northeast Division	N	N	Neither	Non RC Blood Center                     
N022TEM	TEMPLE UNIVERSITY HOSPITAL	Hospital Out of Region	Medium	732	30008	Urban	Philadelphia	PA	19140	42101	   40.00469	  -75.15223	Southeastern Pennsylvania Region	Northeast Division	Y	Y	Neither	Hospital                                
N0122120	CAPE FEAR VALLEY MEDICAL CENTER	Miscellaneous		634	14424	Urban	Fayetteville	NC	28304	37051			North Carolina Region	Southeast and Caribbean Division	Y	N	Neither	Hospital                                
N004210	RHODE ISLAND BLOOD CENTER	Hospital Customer				NA							TBD	TBD	N	N	Neither	Non RC Blood Center                     
N013B5UMMC	UNIVERSITY OF MICHIGAN HOSPITALS	Hospital Customer	Medium	1000	35336	Urban	Ann Arbor	MI	48109	26161	   42.285348	  -83.72955	Michigan Region	North Central Division	N	Y	Both	Hospital                                
N0075228	AIR METHODS - FORT MOHAVE	Unclassified				Rural	Fort Mohave	AZ	86426	04015	   35.007773	 -114.569324	Arizona New Mexico Region	Southwest and Rocky Mountain Division	N	N	Neither	Air Ambulance                           
N006E63SCE	SCRIPPS MEMORIAL HOSPITAL ENCINITAS	Hospital Customer	Medium	193	4496	Urban	Encinitas	CA	92024	06073	   33.036271	 -117.2843	Southern California Region	Pacific Division	Y	N	Neither	Hospital                                
N038B7METI	RILEY HOSPITAL FOR CHILDREN	Hospital Customer	High	250		Urban	Indianapolis	IN	46202	18097	   39.777276	  -86.18141	Indiana Region	North Central Division	Y	Y	Both	Hospital                                
N020S98DRM	ST GEORGE REGIONAL MEDICAL CENTER	EO-Emerging Offerings	Medium	245		Urban	Saint George	UT	84770	49053	   37.098487	 -113.57488	Utah Nevada Region	Southwest and Rocky Mountain Division	N	Y	Both	Hospital                                
N035N1UNVA	UNIVERSITY OF VIRGINIA MEDICAL CENTER	Hospital Out of Region	Medium	612	26944	Urban	Charlottesville	VA	22908	51003	   38.03145	  -78.49936	Virginia Region	Central Atlantic Division	Y	Y	Neither	Hospital                                
N017177	MEMORIAL BLOOD CENTERS OF MINNEAPOLIS	Community Blood Bank				NA							TBD	TBD	N	N	Neither	Non RC Blood Center                     
N022183	MILLER MEMORIAL BLOOD CENTER	Hospital Out of Region				NA							TBD	TBD	N	N	Neither	Non RC Blood Center                     
N0122420	WAKE FOREST BAPTIST MEDICAL CENTER	Hospital in Region	Medium	885	34412	Urban	Winston Salem	NC	27157	37067	   36.090002	  -80.27149	North Carolina Region	Southeast and Caribbean Division	Y	Y	Both	Hospital                                
N040B0UCHI	THE UNIVERSITY OF CHICAGO MEDICAL CENTER	External Blood Bank Customers	High	805	18526	Urban	Chicago	IL	60637	17031	   41.788196	  -87.60449	Illinois Region	North Central Division	Y	Y	Both	Hospital                                
N0047128	UNIVERSITY OF VERMONT MEDICAL CENTER	Hospital Out of Region	Medium	562	22255	Urban	Burlington	VT	05401	50007	   44.480764	  -73.20069	Northern New England Region	Northeast Division	Y	Y	Neither	Hospital                                
N0122225	DUMC DUKE UNIVERSITY MEDICAL CENTER	Miscellaneous	Medium	960	38334	Urban	Durham	NC	27710	37063	   36.008249	  -78.93738	North Carolina Region	Southeast and Caribbean Division	Y	Y	Both	Hospital                                
N053B0HOPK	JOHNS HOPKINS HOSPITAL	Hospital in Region	Medium	1095	58423	Urban	Baltimore	MD	21287	24510	   39.2973	  -76.59344	National Capital and Greater Chesapeake Region	Central Atlantic Division	N	Y	Both	Hospital                                
N003B6PMID	PIEDMONT COLUMBUS REGIONAL MIDTOWN HOSP	Hospital Out of Region	Medium	583	11941	Urban	Columbus	GA	31901	13215	   32.465313	  -84.980285	Georgia Region	Southeast and Caribbean Division	Y	Y	Both	Hospital                                
N022XAD	NEMOURS CHILDREN'S HOSPITAL	Hospital in Region	Medium	260	12055	Urban	Wilmington	DE	19899	10003	   39.782311	  -75.55516	National Capital and Greater Chesapeake Region	Central Atlantic Division	Y	N	Neither	Hospital                                
N011126	CBC OF GREATER KANSAS CITY	EO-Hub Accts				NA							TBD	TBD	N	N	Neither	Non RC Blood Center                     
N049T0062C	BAYLOR UNIVERSITY MEDICAL CTR AT DALLAS	Hospital in Region	High	914	20997	Urban	Dallas	TX	75246	48113	   32.790611	  -96.78077	North Texas Region	Southwest and Rocky Mountain Division	Y	Y	Both	Hospital                                
N027B2LTUN	UPMC ALTOONA	Hospital Out of Region	Medium	368	26076	Urban	Altoona	PA	16601	42013	   40.521161	  -78.39814	Greater Pennsylvania Region	Northeast Division	Y	Y	Neither	Hospital                                
N041A10206	UNIVERSITY HOSPITAL-BIRMINGHAM		High	1157	32909	Urban	Birmingham	AL	35294	01073	   33.506308	  -86.80294	Alabama Mississippi Region	Southeast and Caribbean Division	Y	Y	Both	Hospital                                
N602181	METROPOLITAN BLOOD SERVICES	Hospital in Region	Low			Urban	Yonkers	NY	10704	36119			Greater New York Region	Northeast Division	N	N	Neither	Non RC Blood Center                     
N021P01155	HARBORVIEW MEDICAL CENTER	Hospital Out of Region		413	15291	Urban	Seattle	WA	98104	53033	   47.603843	 -122.32427	Northwest Region	Pacific Division	N	Y	Neither	Hospital                                
N022CROB	CROZER CHESTER MEDICAL CENTER	Hospital Out of Region	Medium	459	15437	Urban	Chester	PA	19013	42045	   39.855425	  -75.36884	Southeastern Pennsylvania Region	Northeast Division	Y	Y	Neither	Hospital                                
N038B7METI	RILEY HOSPITAL FOR CHILDREN	Miscellaneous	High	250		Urban	Indianapolis	IN	46202	18097	   39.777276	  -86.18141	Indiana Region	North Central Division	Y	Y	Both	Hospital                                
N019058000	VANDERBILT UNIVERSITY MEDICAL CENTER	Hospital Customer	Medium	1025	50744	Urban	Nashville	TN	37232	47037	   36.141381	  -86.80199	Tennessee Region	Southeast and Caribbean Division	Y	Y	Both	Hospital                                
N017177	MEMORIAL BLOOD CENTERS OF MINNEAPOLIS	External Blood Bank Customers				NA							TBD	TBD	N	N	Neither	Non RC Blood Center                     
N0122420	WAKE FOREST BAPTIST MEDICAL CENTER	Others	Medium	885	34412	Urban	Winston Salem	NC	27157	37067	   36.090002	  -80.27149	North Carolina Region	Southeast and Caribbean Division	Y	Y	Both	Hospital                                
N0122225	DUMC DUKE UNIVERSITY MEDICAL CENTER	Non Region	Medium	960	38334	Urban	Durham	NC	27710	37063	   36.008249	  -78.93738	North Carolina Region	Southeast and Caribbean Division	Y	Y	Both	Hospital                                
N022XAD	NEMOURS CHILDREN'S HOSPITAL	Commercial Labs	Medium	260	12055	Urban	Wilmington	DE	19899	10003	   39.782311	  -75.55516	National Capital and Greater Chesapeake Region	Central Atlantic Division	Y	N	Neither	Hospital                                
N011126	CBC OF GREATER KANSAS CITY	Miscellaneous				NA							TBD	TBD	N	N	Neither	Non RC Blood Center                     
N041A10206	UNIVERSITY HOSPITAL-BIRMINGHAM	Hospital in Region	High	1157	32909	Urban	Birmingham	AL	35294	01073	   33.506308	  -86.80294	Alabama Mississippi Region	Southeast and Caribbean Division	Y	Y	Both	Hospital                                
N602181	METROPOLITAN BLOOD SERVICES	Hospital Customer	Low			Urban	Yonkers	NY	10704	36119			Greater New York Region	Northeast Division	N	N	Neither	Non RC Blood Center                     
N021P01155	HARBORVIEW MEDICAL CENTER			413	15291	Urban	Seattle	WA	98104	53033	   47.603843	 -122.32427	Northwest Region	Pacific Division	N	Y	Neither	Hospital                                
N006E63SCE	SCRIPPS MEMORIAL HOSPITAL ENCINITAS	Hospital in Region	Medium	193	4496	Urban	Encinitas	CA	92024	06073	   33.036271	 -117.2843	Southern California Region	Pacific Division	Y	N	Neither	Hospital                                
N019058000	VANDERBILT UNIVERSITY MEDICAL CENTER	Hospital in Region	Medium	1025	50744	Urban	Nashville	TN	37232	47037	   36.141381	  -86.80199	Tennessee Region	Southeast and Caribbean Division	Y	Y	Both	Hospital                                
N0122225	DUMC DUKE UNIVERSITY MEDICAL CENTER	Non RC Blood Centers	Medium	960	38334	Urban	Durham	NC	27710	37063	   36.008249	  -78.93738	North Carolina Region	Southeast and Caribbean Division	Y	Y	Both	Hospital                                
